state,district,block,crop,category,query,answer,created_on
TAMILNADU,MADURAI,VADIPATTI,Others,Others,Asked about pm kisan samman nidhi next due details,கேள்வி; பி எம் கிஷன் சம்மன் நிதி அடுத்த வரவு  பதில்; ஒன்றிய வேளாண்துறையை அணுகவும்,2023-03-13T18:29:09.737
TAMILNADU,MAYILADUTHURAI,0   ,Paddy (Dhan),Cereals,Asking about Aduthurai rice research institute contact number,கேள்வி: ஆடுதுறை நெல் ஆராய்ச்சி நிலையத்தின்  தொடர்பு எண் ;பதில்: தொடர்புக்கு  0435-2472098,2023-03-13T18:49:01.237
TAMILNADU,MAYILADUTHURAI,0   ,Others,Others,Asking about Crop insurance information,கேள்வி:பயிர் காப்பீட்டில் எனது காப்பீடு எனது கொள்கை திட்டம் பற்றிய தகவல் பதில்:விவசாயிகள் மத்தியில் பயிர் இழப்பு ஏற்பட்டு நிதி இழப்பு ஏற்படுவதை குறைக்க ஏற்படுத்தப்பட்ட திட்டமாகும்.,2023-03-13T18:50:44.977
TAMILNADU,VILLUPPURAM,VALLAM,Groundnut (pea nut/mung phalli),Oilseeds,Asking about Basal fertilizer management for groundnut,கேள்வி:நிலக்கடலையில் அடிஉர மேலாண்மை : பதில்: யூரியா 11 கிலோ + சூப்பர் பாஸ்பேட் 125 கிலோ + பொட்டாஷ் 25 கிலோ+ஜிப்சம் 80 கிலோ /ஏக்கர்,2023-03-13T18:55:57.127
TAMILNADU,SALEM,IDAPPADI,Turmeric,Condiments and Spices,Farmer asked query on Weather,"கேள்வி: சேலம் மாவட்டம் - எடப்பாடி ஒன்றியம் வானிலை தகவல்  : பதில்:  இன்று மழைக்கு  வாய்ப்பு இல்லை மற்றும் மேகமூட்டத்துடன் காணப்படும் ,இன்று எதிர்பார்க்கப்படும் அதிகபட்ச வெப்பநிலை 31 ° C மற்றும் குறைந்தபட்ச வெப்பநிலை 22 ° C மற்றும் காற்றின் வேகம் மணிக்கு 5 கிலோமீட்டர் வேகத்தில் வீசும்.",2023-03-13T19:15:17.83
TAMILNADU,THOOTHUKUDI,SATTANKULAM,Others,Others,Asking about prime minister kisan samman nidhi scheme details,"கேள்வி:  பிரதமர் கிசான் சம்மான் நிதி திட்டத்தில்  பதிவாகாமல் நிலுவையில் உள்ளது பற்றிய தகவல் அறிய  ; பதில்:   வேளாண்மை துணை இயக்குனர் (சென்னை ) அலுவலகத்தைத் தொடர்பு கொள்ள வேண்டும், தொடர்புக்கு 044 28583323",2023-03-13T19:42:30.673
TAMILNADU,ARIYALUR,THIRUMANUR,Paddy (Dhan),Cereals,"Asked about Gypsum fertilizer used for Paddy ,Sugarcane","கேள்வி: நெல்,கரும்புக்கு ஜிப்சம் உரம் இடலாமா? பதில்: மண் பரிசோதனை அடிப்படையில் இடலாம் ;மேலும் வேளாண்மை துறையை அணுகவும்",2023-03-13T19:53:11.92
TAMILNADU,CUDDALORE,MELBHUVANAGIRI,Groundnut (pea nut/mung phalli),Oilseeds,Asked about Groundnut market information,கேள்வி :நிலக்கடலை  விலை நிலவரம் பதில் :குறிஞ்சிப்பாடி மற்றும் ஜெயம்கொண்டம் சந்தை நிலவரம் பதிவில் இல்லை ;விருத்தாச்சலம் சந்தையில் ரூபாய்.8383 -10249/குவிண்டால் என்ற அளவில் விற்கப்பட்டது (10.03.2023),2023-03-13T20:01:43.983
TAMILNADU,TIRUNELVELI,NANGUNERI,Bhindi(Okra/Ladysfinger),Vegetables,Asked about aphids and thrips management,கேள்வி : வெண்டையில் பூச்சி மேலாண்மை 'பதில் : இமிடேகுளோபிரீடு மருந்தினை ஒரு லிட்டர் தண்ணீருக்கு அரை மில்லி என்ற அளவில் கலந்து தெளிக்கவும்,2023-03-13T21:03:52.58
TAMILNADU,SALEM,GANGAVALLI,Coconut,Plantation Crops,Asking about coconut fertilizer season,கேள்வி : தென்னை உரம் போடும் பருவம் பதில் : ஜூன் - ஜூலை மற்றும் டிசம்பர் - ஜனவரி,2023-03-14T07:00:46.11
