StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,year,month
TAMILNADU,VILLUPPURAM,KANAI,NA,AGRICULTURE,Pulses,Black Gram (urd bean),Post Harvest Preservation,Farmer asked query on Weather,"கேள்வி : கானை ஒன்றியம் விழுப்புரம் மாவட்டம் வானிலை அறிக்கை பதில் : இன்று லேசான மழைக்கான வாய்ப்பு உள்ளது , வெப்பநிலை 23 - 28  வரையும் , காற்றின் வேகம் மணிக்கு 6  - 19  கிலோமீட்டர் வரையும் உள்ளது ",2023-02-03T13:57:41.577,2023,2
UTTAR PRADESH,BASTI,KAPTANGANJ,NA,AGRICULTURE,Others,Others,Government Schemes,"Information about Prime Minister Kisan Samman Nidhi Scheme..?
","श्रीमान जी प्रधानमंत्री किसान सम्मान निधि योजना के अंतर्गत अधिक जानकारी के लिए जिला कृषि उपनिदेशक कार्यालय में संपर्क करें
",2023-02-03T13:57:54.697,2023,2
TAMILNADU,VILLUPPURAM,KANAI,NA,AGRICULTURE,Cereals,Paddy (Dhan),Varieties,"Asking about Paddy Sowing season and Varieties
","கேள்வி : நெல் விதைக்கும் பருவம் மற்றும் இரகங்கள் பதில் : நவரை   (டிச  - ஜன) இரகங்கள் : ஏடீடி 53, கோ 51, ஏடீடி 43 , ஏடீடி (R) 45, TPS 5 , மதுரை 6, ஏடீடி 36, ஏடீடி 37, ஏஎஸ்டி 16, டிகேஎம் 9
",2023-02-03T13:58:16.163,2023,2
UTTAR PRADESH,JALAUN,NADIGAON,NA,AGRICULTURE,Cereals,Wheat,Weed Management,"Information about control of Narrow and broad leaf weeds in the wheat crop?
","श्रीमान जी,गेहूं की फसल में खरपतवार प्रबंधन के लिए Sulfosulfuron 75% + Metsulfuran Methyl 5% WG @ 16 ग्राम प्रति एकड़ की दर से 200 लीटर पानी के साथ घोल बनाकर छिडकाव करें |
",2023-02-03T13:58:45.023,2023,2
UTTAR PRADESH,ALLAHABAD,BAHRIA,NA,AGRICULTURE,Others,Others,Government Schemes,information about pm kisan samman nidhi status..?,श्रीमान जी आपकी पीएम किसान सम्मान निधि में भूमि का विवरण अपलोड नहीं है इसके लिए आप अपने सभी दस्तावेज लेकर अपने ब्लॉक के राज की बीज गोदाम प्रभारी है जिले के उप कृषि निदेशक कार्यालय में जाकर संपर्क करें,2023-02-03T13:59:15.753,2023,2
MAHARASHTRA,WASHIM,WASHIM,NA,AGRICULTURE,Others,Others,Market Information,Farmer asked price detail of Wheat in Karanja mandi.,"02/02/2023
Mandi  : Karanja
Commodity : Wheat
(Modal Price): 2805/Quintal",2023-02-03T13:59:15.88,2023,2
TAMILNADU,VILLUPPURAM,KANAI,NA,AGRICULTURE,Cereals,Paddy (Dhan),Varieties,Asked about Paddy Variety CO 51 and ADT 37 yield ,"Query : Paddy Variety CO 51 and ADT 37 yield Answer : Average Yield CO 51 
(kg/ha) 6641 , ADT 37 : 6200",2023-02-03T13:59:45.97,2023,2
BIHAR,PATNA,PUNPUN,NA,AGRICULTURE,Others,Others,Government Schemes,GOVERNMENT SCHEME RELATED QUERY,सहकारिता विभाग हेल्पलाइन नंबर  18001800110,2023-02-03T14:00:31.21,2023,2
PUNJAB,PATIALA,SAMANA,NA,HORTICULTURE,Vegetables,Tomato,Fertilizer Use and Availability,"Information regarding control of Virus in Tomato?
",ਟਮਾਟਰ ਦੀ ਫ਼ਸਲ ਚੋ ਬਿਮਾਰ ਬੂਟੇ ਖੇਤ ਵਿੱਚੋ ਕੱਢੋ ਅਤੇ ਤੇ ਰੋਗ ਫੈਲਣ ਤੋਂ ਰੋਕਣ ਲਈ 400 ਮਿਲੀਲਿਟਰ ਮੇਲਾਥੀਆਨ(ਤੇਲੈ ਤੇ ਚਿੱਟਾ ਮੱਛਰ ਨੂੰ ਕਾਬੂ ਕਰਨ ਲਈ) ਨੂੰ 100 ਲਿਟਰ ਪਾਣੀ ਚ ਮਿਲਾ ਕੇ ਇਕ ਏਕੜ ਲਈ ਸਪਰੇ ਕਰੋ ,2023-02-03T14:00:37.84,2023,2
RAJASTHAN,JAISALMER,JAISALMER,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about to PM Kisan Samman Nidhi Scheme,पीएम किसान सम्मान निधि योजना की अधिक जानकारी के लिए आप के क्षेत्रीय नोडल अधिकारी से संपर्क करें,2023-02-03T14:00:51.867,2023,2
CHHATTISGARH,RAJ NANDGAON,DONGARGHAR,NA,AGRICULTURE,Cereals,Wheat,Cultural Practices,farmer want to know information about crop duration for wheat crop?,प्रिय किसान भाई गेहूं की फसल अवधि लगभग 110 से 150 दिन तक हो सकती है। ,2023-02-03T14:00:59.947,2023,2
UTTAR PRADESH,ALIGARH,LODHA,NA,AGRICULTURE,Others,Others,Government Schemes,Information about of Pradhan Mantri Kisan Samman Nidhi Yojana status?,"श्रीमान जी,पीएम किसान सम्मान निधि योजना के अंतर्गत आपका आवेदन उप-जिला/ब्लॉक स्तर पर अनुमोदन के लिए लंबित है |",2023-02-03T14:01:34.703,2023,2
MADHYA PRADESH,RATLAM,RATLAM,NA,AGRICULTURE,Others,Others,Government Schemes,farmer want to know information about how to control wild animals? ,1. आप अपने खेत मैं जंगली जानवरों कि रोकथाम करने के लिए तार नामक दवा (महाराष्ट्र बायो फेर्टिलिज़ेर्स प्राइवेट लिमिटेड) २-५ एम् एल प्रति लीटर पानी या ३०-३५ एम् एल प्रति पंप (१५ लीटर पानी) के हिसाब से तथा यूनिसा ८२ मिलाकर छिड़काब करें और साथ में फोरेस्ट बिभाग मैं इसकी सिकायत भी करें,2023-02-03T14:01:37.09,2023,2
MADHYA PRADESH,RATLAM,RATLAM,NA,HORTICULTURE,Condiments and Spices,Garlic,Nutrient Management,Farmer brother wants to know about fertilizer for plant growth in garlic crop,किसान भाई लहसुन की फसल में पौधे की वृद्धि के लिए एनपीके 19 19 19 का 100 ग्राम प्रति पंप के हिसाब से स्प्रे करें,2023-02-03T14:02:41.3,2023,2
RAJASTHAN,JHALAWAR,PIRAWA (SUNEL),NA,AGRICULTURE,Pulses,Lentil (Masur),	Plant Protection	,"ASKED ABOUT TO DISEASE CONTROL IN LENTIL   ?
","कॉपर ऑक्सीक्लोराइड 50% डब्लू.पी.(ब्लइटटॉक्स/ ब्लू कॉपर) 45 ग्राम + स्ट्रेप्टोसाईक्लीन 2 ग्राम दवा का प्रति 15 लिटर पानी में घोल बना कर छिड़काव करें।
",2023-02-03T14:02:41.47,2023,2
MADHYA PRADESH,GUNA,RAGHOGARH,NA,AGRICULTURE,Others,Others,Government Schemes,"Farmer wants to information of pmkisan Samman Nidhi Yojna?
","प्रधानमंत्री किसान सम्मान निधि योजना के लिए पटवारी जी से संपर्क करे या किसान हेल्पलाइन नंबर 155261, 1800115526 ,011-23381092, 011-24300606 कॉल करें !
",2023-02-03T14:03:14.557,2023,2
UTTAR PRADESH,SHAHJAHANPUR,KANTH,NA,AGRICULTURE,Others,Others,Government Schemes,"Solar pump ki jankari de.?
","महोदय ,सोलर पंप की जानकारी के लिए उप कृषि निदेशक कार्यालय से संपर्क करे .
",2023-02-03T14:03:22.45,2023,2
MAHARASHTRA,JALNA,PARTUR,NA,AGRICULTURE,Pulses,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),	Plant Protection	,Attack of caterpillar on Bengal Gram ?,"हरभरा - क्लोरोपायरीफोस 30 मिलि /१५ लिटर पाण्यात घेवून फवारणी करावी.
",2023-02-03T14:04:22.807,2023,2
PUNJAB,HOSHIARPUR,GARHSHANKAR,NA,AGRICULTURE,Cereals,Wheat,Nutrient Management,"Information regarding the foliar spray for increasing grain yield of Wheat?
",ਕਣਕ ਦੀ ਫਸਲ ਤੋਂ ਵੱਧ ਝਾੜ ਲੈਣ ਲਈ 2% ਪੋਟਾਸ਼ੀਅਮ ਨਾਈਟਰੇਟ ਐੱਨ.ਪੀ.ਕੇ 13:00:45 (2 ਕਿਲੋ ਐੱਨ.ਪੀ.ਕੇ 13:00:45 ਨੂੰ 100 ਲੀਟਰ ਪਾਣੀ ਵਿੱਚ ਪਾ ਕੇ) ਦਾ ਗੋਭ ਵਾਲਾ ਪੱਤਾ ਨਿਕਲਣ ਵੇਲੇ ਅਤੇ ਬੂਰ ਪੈਣ ਵੇਲੇ ਛਿੜਕਾਅ ਕਰੋ ,2023-02-03T14:04:23.167,2023,2
JHARKAND,DHANBAD,DHANBAD,NA,HORTICULTURE,Vegetables,Brinjal,	Plant Protection	,PLANT PROTECTION RELATED QUERY IN BRINJAL,कॉपर ऑक्सीकॉलोराइड 50% WP  2  ग्राम / लीटर पानी में मिलाकर जड़ और पौधे पर स्प्रे करे |,2023-02-03T14:04:28.733,2023,2
GUJARAT,RAJKOT,UPLETA,NA,AGRICULTURE,Others,Others,Market Information,Farmer asked price detail of Castor Seed in Gondal mandi.,"01/02/2023
Mandi  : Gondal
Commodity : Castor Seed
(Modal Price): 6930/Quintal",2023-02-03T14:04:54.367,2023,2
UTTAR PRADESH,ALLAHABAD,PHULPUR,NA,AGRICULTURE,Others,Others,Government Schemes,Information about Prime Minister Kisan Samman Nidhi..?,श्रीमान जी प्रधानमंत्री किसान सम्मान निधि में आपकी सारी जानकारी सही है जल्द ही आपके खाते में धनराशि आने की संभावना है,2023-02-03T14:05:07.063,2023,2
TELANGANA,NIRMAL,BHAINSA,NA,AGRICULTURE,Oilseeds,Sesame (Gingelly/Til)/Sesamum,Weed Management,WEED MANAGEMENT IN SESAME CROP ," RECOMMENDED TO SPRAY QUIZALOFOP-P-ETHYL (TARGA SUPER) 400 ML/200 LITRES OF WATER
క్విజలోఫాప్-పి -ఇథైల్ 400  మిల్లి లీటర్లు (టర్గా సూపర్)/200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి",2023-02-03T14:05:55.313,2023,2
BIHAR,AURANGABAD,DAUDNAGAR,NA,AGRICULTURE,Pulses,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Nutrient Management,Query about Nutrient management in gram ,किसान भाई चने की फसल में एनपीके 20 - 20 - 20 का 4 ग्राम प्रति लीटर पानी में मिलाकर बुवाई के 25 से 30 दिन पर करें |,2023-02-03T14:07:24.14,2023,2
CHHATTISGARH,RAJ NANDGAON,DONGARGHAR,NA,AGRICULTURE,Pulses,Black Gram (urd bean),Sowing Time and Weather,Farmer wants information regarding    Sowing Time of Black Gram?,प्रिय किसान भाई उड़द की बोवाई का उचित समय फरवरी से मार्च तक है |,2023-02-03T14:07:32.813,2023,2
PUNJAB,MUKTSAR,GIDDERBAHA,NA,HORTICULTURE,Vegetables,Potato,Cultural Practices,"information regarding application of fertilizer for better yield of potato
",ਆਲੂ ਦੇ ਵਧੀਆ ਝਾੜ ਲਈ 2 ਕਿਲੋ ਐੱਨ ਪੀ ਕੇ 13:00:45 ਨੂੰ 100 ਲੀਟਰ ਪਾਣੀ ਵਿੱਚ ਪਾ ਕੇ ਪ੍ਰਤੀ ਏਕੜ ਛਿੜਕਾਅ ਕਰੋ,2023-02-03T14:07:51.83,2023,2
UTTAR PRADESH,GORAKHPUR,KAURI RAM,NA,AGRICULTURE,Oilseeds,Toria,	Plant Protection	,Information about White blister problem in Mustard crop...?,सर आप Copper oxychloride 50% WP 400 gm प्रति एकड़ 200 लीटर पानी में घोलकर स्प्रे करें |,2023-02-03T14:07:58.43,2023,2
